Time mz Intensity Source
227.49 1672.4706490041 0.000107495624759739 Experiment
227.49 1672.47818978274 0.000102542234476379 Experiment
227.49 1672.48573056138 9.74917567671919e-05 Experiment
227.49 1672.49327134002 9.2350469434958e-05 Experiment
227.49 1672.50081211865 8.7124650282747e-05 Experiment
227.49 1672.50835289729 8.18205771135337e-05 Experiment
227.49 1672.51589367593 7.64445277303962e-05 Experiment
227.49 1672.52343445457 7.10027799360997e-05 Experiment
227.49 1672.53097523321 6.55016115337235e-05 Experiment
227.49 1672.53851601185 5.99473003262396e-05 Experiment
227.49 1672.54605679049 5.43461241169238e-05 Experiment
227.49 1672.55359756913 4.87043607081491e-05 Experiment
227.49 1672.56113834777 4.30282879031868e-05 Experiment
227.49 1672.56867912641 3.73241835050159e-05 Experiment
227.49 1672.57621990505 3.15983253167231e-05 Experiment
227.49 1672.58376068368 2.58569911410515e-05 Experiment
227.49 1672.59130146232 2.01064587810902e-05 Experiment
227.49 1672.59884224096 1.43530060398134e-05 Experiment
227.49 1672.6063830196 8.60291072031273e-06 Experiment
227.49 1672.61392379824 2.86245062532754e-06 Experiment
227.49 1672.62146457688 0 Experiment
227.49 1672.62900535552 0 Experiment
227.49 1672.63654613416 0 Experiment
227.49 1672.6440869128 0 Experiment
227.49 1672.65162769144 0 Experiment
227.49 1672.65916847008 0 Experiment
227.49 1672.66670924872 0 Experiment
227.49 1672.67425002735 0 Experiment
227.49 1672.68179080599 0 Experiment
227.49 1672.68933158463 0 Experiment
227.49 1672.69687236327 0 Experiment
227.49 1672.70441314191 0 Experiment
227.49 1672.71195392055 0 Experiment
227.49 1672.71949469919 0 Experiment
227.49 1672.72703547783 0 Experiment
227.49 1672.73457625647 0 Experiment
227.49 1672.74211703511 0 Experiment
227.49 1672.74965781375 0 Experiment
227.49 1672.75719859238 0 Experiment
227.49 1672.76473937102 0 Experiment
227.49 1672.77228014966 0 Experiment
227.49 1672.7798209283 0 Experiment
227.49 1672.78736170694 0 Experiment
227.49 1672.79490248558 0 Experiment
227.49 1672.80244326422 0 Experiment
227.49 1672.80998404286 0 Experiment
227.49 1672.8175248215 0 Experiment
227.49 1672.82506560014 0 Experiment
227.49 1672.83260637878 0 Experiment
227.49 1672.84014715741 0 Experiment
227.49 1672.84768793605 0 Experiment
227.49 1672.85522871469 0 Experiment
227.49 1672.86276949333 0 Experiment
227.49 1672.87031027197 0 Experiment
227.49 1672.87785105061 0 Experiment
227.49 1672.88539182925 0 Experiment
227.49 1672.89293260789 0 Experiment
227.49 1672.90047338653 0 Experiment
227.49 1672.90801416517 0 Experiment
227.49 1672.91555494381 0 Experiment
227.49 1672.92309572244 0 Experiment
227.49 1672.93063650108 0 Experiment
227.49 1672.93817727972 0 Experiment
227.49 1672.94571805836 0 Experiment
227.49 1672.953258837 0 Experiment
227.49 1672.96079961564 0 Experiment
227.49 1672.96834039428 0 Experiment
227.49 1672.97588117292 0 Experiment
227.49 1672.98342195156 0 Experiment
227.49 1672.9909627302 0 Experiment
227.49 1672.99850350884 0 Experiment
227.49 1673.00604428748 0 Experiment
227.49 1673.01358506611 0 Experiment
227.49 1673.02112584475 0 Experiment
227.49 1673.02866662339 0 Experiment
227.49 1673.03620740203 0 Experiment
227.49 1673.04374818067 0 Experiment
227.49 1673.05128895931 0 Experiment
227.49 1673.05882973795 0 Experiment
227.49 1673.06637051659 0 Experiment
227.49 1673.07391129523 0 Experiment
227.49 1673.08145207387 0 Experiment
227.49 1673.08899285251 0 Experiment
227.49 1673.09653363114 0 Experiment
227.49 1673.10407440978 0 Experiment
227.49 1673.11161518842 0 Experiment
227.49 1673.11915596706 0 Experiment
227.49 1673.1266967457 0 Experiment
227.49 1673.13423752434 0 Experiment
227.49 1673.14177830298 0 Experiment
227.49 1673.14931908162 0 Experiment
227.49 1673.15685986026 0 Experiment
227.49 1673.1644006389 0 Experiment
227.49 1673.17194141754 0 Experiment
227.49 1673.17948219617 0 Experiment
227.49 1673.18702297481 0 Experiment
227.49 1673.19456375345 0 Experiment
227.49 1673.20210453209 0 Experiment
227.49 1673.20964531073 0 Experiment
227.49 1673.21718608937 0 Experiment
227.49 1673.22472686801 0 Experiment
227.49 1673.23226764665 0 Experiment
227.49 1673.23980842529 0 Experiment
227.49 1673.24734920393 0 Experiment
227.49 1673.25488998257 0 Experiment
227.49 1673.2624307612 0 Experiment
227.49 1673.26997153984 0 Experiment
227.49 1673.27751231848 0 Experiment
227.49 1673.28505309712 0 Experiment
227.49 1673.29259387576 0 Experiment
227.49 1673.3001346544 0 Experiment
227.49 1673.30767543304 0 Experiment
227.49 1673.31521621168 0 Experiment
227.49 1673.32275699032 0 Experiment
227.49 1673.33029776896 0 Experiment
227.49 1673.3378385476 0 Experiment
227.49 1673.34537932623 0 Experiment
227.49 1673.35292010487 0 Experiment
227.49 1673.36046088351 0 Experiment
227.49 1673.36800166215 0 Experiment
227.49 1673.37554244079 0 Experiment
227.49 1673.38308321943 0 Experiment
227.49 1673.39062399807 0 Experiment
227.49 1673.39816477671 0 Experiment
227.49 1673.40570555535 0 Experiment
227.49 1673.41324633399 0 Experiment
227.49 1673.42078711263 0 Experiment
227.49 1673.42832789127 0 Experiment
227.49 1673.4358686699 0 Experiment
227.49 1673.44340944854 0 Experiment
227.49 1673.45095022718 0 Experiment
227.49 1673.45849100582 0 Experiment
227.49 1673.46603178446 0 Experiment
227.49 1673.4735725631 0 Experiment
227.49 1673.48111334174 0 Experiment
227.49 1673.48865412038 0 Experiment
227.49 1673.49619489902 0 Experiment
227.49 1673.50373567766 0 Experiment
227.49 1673.5112764563 0 Experiment
227.49 1673.51881723493 0 Experiment
227.49 1673.52635801357 0 Experiment
227.49 1673.53389879221 0 Experiment
227.49 1673.54143957085 0 Experiment
227.49 1673.54898034949 0 Experiment
227.49 1673.55652112813 0 Experiment
227.49 1673.56406190677 0 Experiment
227.49 1673.57160268541 0 Experiment
227.49 1673.57914346405 0 Experiment
227.49 1673.58668424269 0 Experiment
227.49 1673.59422502133 0 Experiment
227.49 1673.60176579996 1.39071777704438e-05 Experiment
227.49 1673.6093065786 4.18028411448617e-05 Experiment
227.49 1673.61684735724 7.15074574428273e-05 Experiment
227.49 1673.62438813588 0.00010289637919426 Experiment
227.49 1673.63192891452 0.000135844958932114 Experiment
227.49 1673.63946969316 0.000170228549186355 Experiment
227.49 1673.6470104718 0.000205922502487927 Experiment
227.49 1673.65455125044 0.00024280217136678 Experiment
227.49 1673.66209202908 0.00028074290835582 Experiment
227.49 1673.66963280772 0.00031962006598503 Experiment
227.49 1673.67717358636 0.00035930899678535 Experiment
227.49 1673.68471436499 0.00039968505328645 Experiment
227.49 1673.69225514363 0.000440623588021819 Experiment
227.49 1673.69979592227 0.000481999953521139 Experiment
227.49 1673.70733670091 0.000523689502315356 Experiment
227.49 1673.71487747955 0.000565567586934093 Experiment
227.49 1673.72241825819 0.000607509559910935 Experiment
227.49 1673.72995903683 0.000649390773775513 Experiment
227.49 1673.73749981547 0.00069108658105877 Experiment
227.49 1673.74504059411 0.000732472334290539 Experiment
227.49 1673.75258137275 0.000773423386004002 Experiment
227.49 1673.76012215139 0.000813815088728981 Experiment
227.49 1673.76766293003 0.000853522794996418 Experiment
227.49 1673.77520370866 0.000892421857336045 Experiment
227.49 1673.7827444873 0.000930387628281271 Experiment
227.49 1673.79028526594 0.000967295460361792 Experiment
227.49 1673.79782604458 0.00100302070610856 Experiment
227.49 1673.80536682322 0.00103743871805144 Experiment
227.49 1673.81290760186 0.00107042484872357 Experiment
227.49 1673.8204483805 0.00110185445065478 Experiment
227.49 1673.82798915914 0.00113160287637602 Experiment
227.49 1673.83552993778 0.00115954547841754 Experiment
227.49 1673.84307071642 0.00118555760931172 Experiment
227.49 1673.85061149506 0.00120951462158877 Experiment
227.49 1673.85815227369 0.00123129186777894 Experiment
227.49 1673.86569305233 0.00125128748557921 Experiment
227.49 1673.87323383097 0.00127029971561192 Experiment
227.49 1673.88077460961 0.00128838477657801 Experiment
