Time mz Intensity
227.49 1672.4706490041 1.0526284173824694E-15
227.49 1672.47818978274 1.184254040649153E-15
227.49 1672.48573056138 1.3320540347828137E-15
227.49 1672.49327134002 1.4979799291223096E-15
227.49 1672.50081211865 1.6842142368047363E-15
227.49 1672.50835289729 1.893197247391142E-15
227.49 1672.51589367593 2.127656858652739E-15
227.49 1672.52343445457 2.3906417901126156E-15
227.49 1672.53097523321 2.6855585488158575E-15
227.49 1672.53851601185 3.0162125632192484E-15
227.49 1672.54605679049 3.386853944343564E-15
227.49 1672.55359756913 3.802228382744672E-15
227.49 1672.56113834777 4.267633744319439E-15
227.49 1672.56867912641 4.788982988518062E-15
227.49 1672.57621990505 5.37287409877284E-15
227.49 1672.58376068368 6.026667787339017E-15
227.49 1672.59130146232 6.758573824523383E-15
227.49 1672.59884224096 7.577746912666838E-15
227.49 1672.6063830196 8.494393154182324E-15
227.49 1672.61392379824 9.519888242500875E-15
227.49 1672.62146457688 1.0666908641035318E-14
227.49 1672.62900535552 1.1949577142932183E-14
227.49 1672.63654613416 1.3383624349941816E-14
227.49 1672.6440869128 1.4986567768843955E-14
227.49 1672.65162769144 1.6777910401584745E-14
227.49 1672.65916847008 1.8779360898805202E-14
227.49 1672.66670924872 2.1015077560108517E-14
227.49 1672.67425002735 2.3511938698019656E-14
227.49 1672.68179080599 2.629984216452883E-14
227.49 1672.68933158463 2.941203705256082E-14
227.49 1672.69687236327 3.288549101688763E-14
227.49 1672.70441314191 3.6761296887029905E-14
227.49 1672.71195392055 4.1085122690483323E-14
227.49 1672.71949469919 4.5907709601486756E-14
227.49 1672.72703547783 5.128542278828085E-14
227.49 1672.73457625647 5.728086063281738E-14
227.49 1672.74211703511 6.396352835223221E-14
227.49 1672.74965781375 7.141058265288012E-14
227.49 1672.75719859238 7.970765469864133E-14
227.49 1672.76473937102 8.894975948929646E-14
227.49 1672.77228014966 9.92423003026605E-14
227.49 1672.7798209283 1.107021781155577E-13
227.49 1672.78736170694 1.234590165054722E-13
227.49 1672.79490248558 1.3765651380576902E-13
227.49 1672.80244326422 1.5345393536369204E-13
227.49 1672.80998404286 1.7102776003474464E-13
227.49 1672.8175248215 1.9057349642076701E-13
227.49 1672.82506560014 2.1230768586954049E-13
227.49 1672.83260637878 2.3647011092612305E-13
227.49 1672.84014715741 2.6332622968908463E-13
227.49 1672.84768793605 2.9316985876215865E-13
227.49 1672.85522871469 3.263261289182531E-13
227.49 1672.86276949333 3.6315474120071264E-13
227.49 1672.87031027197 4.0405355253766426E-13
227.49 1672.87785105061 4.494625235372617E-13
227.49 1672.88539182925 4.998680639626673E-13
227.49 1672.89293260789 5.558078147908789E-13
227.49 1672.90047338653 6.178759094899674E-13
227.49 1672.90801416517 6.867287611455151E-13
227.49 1672.91555494381 7.630914264521323E-13
227.49 1672.92309572244 8.477646023190152E-13
227.49 1672.93063650108 9.416323168410936E-13
227.49 1672.93817727972 1.0456703796697986E-12
227.49 1672.94571805836 1.1609556670639978E-12
227.49 1672.953258837 1.2886763197252163E-12
227.49 1672.96079961564 1.430142941189434E-12
227.49 1672.96834039428 1.5868008919375029E-12
227.49 1672.97588117292 1.7602437831718614E-12
227.49 1672.98342195156 1.952228283717404E-12
227.49 1672.9909627302 2.164690364023787E-12
227.49 1672.99850350884 2.399763112431242E-12
227.49 1673.00604428748 2.659796271112233E-12
227.49 1673.01358506611 2.947377652251531E-12
227.49 1673.02112584475 3.2653566121705186E-12
227.49 1673.02866662339 3.616869768670806E-12
227.49 1673.03620740203 4.0053691777104906E-12
227.49 1673.04374818067 4.4346531907318505E-12
227.49 1673.05128895931 4.9089002419670624E-12
227.49 1673.05882973795 5.432705834800743E-12
227.49 1673.06637051659 6.011123020216164E-12
227.49 1673.07391129523 6.649706686135035E-12
227.49 1673.08145207387 7.354562005177019E-12
227.49 1673.08899285251 8.132397417891989E-12
227.49 1673.09653363114 8.990582561342581E-12
227.49 1673.10407440978 9.93721159639152E-12
227.49 1673.11161518842 1.0981172401345608E-11
227.49 1673.11915596706 1.213222218245921E-11
227.49 1673.1266967457 1.3401070057223727E-11
227.49 1673.13423752434 1.4799467238852227E-11
227.49 1673.14177830298 1.6340305497064747E-11
227.49 1673.14931908162 1.8037724628294913E-11
227.49 1673.15685986026 1.990722973066389E-11
227.49 1673.1644006389 2.196581914800493E-11
227.49 1673.17194141754 2.4232124019191868E-11
227.49 1673.17948219617 2.6726560444201387E-11
227.49 1673.18702297481 2.94714953894557E-11
