Time mz Intensity
227.49 1672.4706490041 9.292330095012874E-16
227.49 1672.47818978274 1.045488608848491E-15
227.49 1672.48573056138 1.1760377667462869E-15
227.49 1672.49327134002 1.3226061028972624E-15
227.49 1672.50081211865 1.4871236122534302E-15
227.49 1672.50835289729 1.6717483875568608E-15
227.49 1672.51589367593 1.8788930348130836E-15
227.49 1672.52343445457 2.1112540854930103E-15
227.49 1672.53097523321 2.371844734039951E-15
227.49 1672.53851601185 2.6640312695535578E-15
227.49 1672.54605679049 2.99157360892618E-15
227.49 1672.55359756913 3.3586703825782125E-15
227.49 1672.56113834777 3.770009072295955E-15
227.49 1672.56867912641 4.2308217544485224E-15
227.49 1672.57621990505 4.7469470606882016E-15
227.49 1672.58376068368 5.324899032535113E-15
227.49 1672.59130146232 5.9719436241912976E-15
227.49 1672.59884224096 6.6961836705448394E-15
227.49 1672.6063830196 7.506653251742342E-15
227.49 1672.61392379824 8.41342245652604E-15
227.49 1672.62146457688 9.427713667537473E-15
227.49 1672.62900535552 1.0562030605266557E-14
227.49 1672.63654613416 1.1830301496699888E-14
227.49 1672.6440869128 1.3248037877043392E-14
227.49 1672.65162769144 1.4832510690880646E-14
227.49 1672.65916847008 1.6602945531192693E-14
227.49 1672.66670924872 1.8580739044656028E-14
227.49 1672.67425002735 2.078969873938388E-14
227.49 1672.68179080599 2.3256308681917493E-14
227.49 1672.68933158463 2.601002376047063E-14
227.49 1672.69687236327 2.908359557529907E-14
227.49 1672.70441314191 3.2513433220511487E-14
227.49 1672.71195392055 3.634000261794056E-14
227.49 1672.71949469919 4.0608268416956205E-14
227.49 1672.72703547783 4.5368182881455706E-14
227.49 1672.73457625647 5.067522663119158E-14
227.49 1672.74211703511 5.659100659891945E-14
227.49 1672.74965781375 6.318391710033334E-14
227.49 1672.75719859238 7.052987049335254E-14
227.49 1672.76473937102 7.871310462778659E-14
227.49 1672.77228014966 8.782707478447868E-14
227.49 1672.7798209283 9.797543892444309E-14
227.49 1672.78736170694 1.0927314559317404E-13
227.49 1672.79490248558 1.2184763495642174E-13
227.49 1672.80244326422 1.358401644031057E-13
227.49 1672.80998404286 1.5140727129538608E-13
227.49 1672.8175248215 1.6872238667016647E-13
227.49 1672.82506560014 1.879776150425924E-13
227.49 1672.83260637878 2.0938569695273798E-13
227.49 1672.84014715741 2.3318217246859773E-13
227.49 1672.84768793605 2.5962776585190255E-13
227.49 1672.85522871469 2.890110128693849E-13
227.49 1672.86276949333 3.2165115544263397E-13
227.49 1672.87031027197 3.5790132954186323E-13
227.49 1672.87785105061 3.9815207542853945E-13
227.49 1672.88539182925 4.428352018790869E-13
227.49 1672.89293260789 4.924280390600783E-13
227.49 1672.90047338653 5.47458118054008E-13
227.49 1672.90801416517 6.085083186014876E-13
227.49 1672.91555494381 6.762225305398574E-13
227.49 1672.92309572244 7.513118786438284E-13
227.49 1672.93063650108 8.3456156592841E-13
227.49 1672.93817727972 9.268383934202463E-13
227.49 1672.94571805836 1.0290990235290606E-12
227.49 1672.953258837 1.1423990566980511E-12
227.49 1672.96079961564 1.2679029996337472E-12
227.49 1672.96834039428 1.406895210022304E-12
227.49 1672.97588117292 1.5607919104892897E-12
227.49 1672.98342195156 1.7311543730590129E-12
227.49 1672.9909627302 1.9197033847705386E-12
227.49 1672.99850350884 2.1283351151063954E-12
227.49 1673.00604428748 2.3591385168422018E-12
227.49 1673.01358506611 2.6144144036850723E-12
227.49 1673.02112584475 2.896696363382195E-12
227.49 1673.02866662339 3.2087736718062528E-12
227.49 1673.03620740203 3.5537164010160943E-12
227.49 1673.04374818067 3.9349029190423045E-12
227.49 1673.05128895931 4.356050004152739E-12
227.49 1673.05882973795 4.821245814045993E-12
227.49 1673.06637051659 5.334985971854631E-12
227.49 1673.07391129523 5.9022130539211494E-12
227.49 1673.08145207387 6.5283597900150816E-12
227.49 1673.08899285251 7.219396313106109E-12
227.49 1673.09653363114 7.981881825206148E-12
227.49 1673.10407440978 8.823021084681112E-12
227.49 1673.11161518842 9.750726133421511E-12
227.49 1673.11915596706 1.0773683756188313E-11
227.49 1673.1266967457 1.1901429169617561E-11
227.49 1673.13423752434 1.3144426503150008E-11
227.49 1673.14177830298 1.4514156676064058E-11
227.49 1673.14931908162 1.6023213326801476E-11
227.49 1673.15685986026 1.768540750657369E-11
227.49 1673.1644006389 1.951588191105114E-11
227.49 1673.17194141754 2.1531235488502553E-11
227.49 1673.17948219617 2.3749659330222723E-11
227.49 1673.18702297481 2.6191084848585524E-11
227.49 1673.19456375345 2.8877345266525132E-11
227.49 1673.20210453209 3.183235163476537E-11
227.49 1673.20964531073 3.508228458970154E-11
227.49 1673.21718608937 3.865580322777441E-11
227.49 1673.22472686801 4.2584272564255284E-11
227.49 1673.23226764665 4.6902011171430835E-11
227.49 1673.23980842529 5.1646560719784925E-11
227.49 1673.24734920393 5.6858979286292435E-11
227.49 1673.25488998257 6.258416044998871E-11
227.49 1673.2624307612 6.887118034723155E-11
227.49 1673.26997153984 7.57736750952573E-11
227.49 1673.27751231848 8.335025100969797E-11
227.49 1673.28505309712 9.166493053607697E-11
227.49 1673.29259387576 1.007876367454027E-10
227.49 1673.3001346544 1.1079471965969714E-10
227.49 1673.30767543304 1.2176952786714217E-10
227.49 1673.31521621168 1.3380302916788E-10
227.49 1673.32275699032 1.46994484296075E-10
227.49 1673.33029776896 1.614521780745426E-10
227.49 1673.3378385476 1.7729421269784246E-10
227.49 1673.34537932623 1.946493681943239E-10
227.49 1673.35292010487 2.1365803566874805E-10
227.49 1673.36046088351 2.344732288553541E-10
227.49 1673.36800166215 2.572616807907965E-10
227.49 1673.37554244079 2.822050320921919E-10
227.49 1673.38308321943 3.095011183186563E-10
227.49 1673.39062399807 3.393653643200223E-10
227.49 1673.39816477671 3.7203229408362563E-10
227.49 1673.40570555535 4.077571652302062E-10
227.49 1673.41324633399 4.468177380273046E-10
227.49 1673.42078711263 4.895161895071035E-10
227.49 1673.42832789127 5.361811840623682E-10
227.49 1673.4358686699 5.871701127063854E-10
227.49 1673.44340944854 6.428715145511483E-10
227.49 1673.45095022718 7.037076935761014E-10
227.49 1673.45849100582 7.701375472230123E-10
227.49 1673.46603178446 8.426596220779397E-10
227.49 1673.4735725631 9.218154144713031E-10
227.49 1673.48111334174 1.0081929346966346E-9
227.49 1673.48865412038 1.102430554921574E-9
227.49 1673.49619489902 1.2052211623001158E-9
227.49 1673.50373567766 1.3173166404175081E-9
227.49 1673.5112764563 1.4395327037872983E-9
227.49 1673.51881723493 1.572754111679871E-9
227.49 1673.52635801357 1.7179402908135673E-9
227.49 1673.53389879221 1.876131394585561E-9
227.49 1673.54143957085 2.0484548348429846E-9
227.49 1673.54898034949 2.2361323185019633E-9
227.49 1673.55652112813 2.440487427128709E-9
227.49 1673.56406190677 2.6629537792483377E-9
227.49 1673.57160268541 2.9050838179064196E-9
227.49 1673.57914346405 3.168558268904856E-9
227.49 1673.58668424269 3.455196318441647E-9
227.49 1673.59422502133 3.766966562032689E-9
227.49 1673.60176579996 4.1059987796030795E-9
227.49 1673.6093065786 4.474596598869519E-9
227.49 1673.61684735724 4.875251103298135E-9
227.49 1673.62438813588 5.3106554609061255E-9
227.49 1673.63192891452 5.7837206393570055E-9
227.49 1673.63946969316 6.2975922865572086E-9
227.49 1673.6470104718 6.855668857893167E-9
