Time mz Intensity
227.49 1672.4706490041 1.1673635726671198E-15
227.49 1672.47818978274 1.3133419857665523E-15
227.49 1672.48573056138 1.4772591671862631E-15
227.49 1672.49327134002 1.661279614360787E-15
227.49 1672.50081211865 1.8678240251467704E-15
227.49 1672.50835289729 2.0995990164859483E-15
227.49 1672.51589367593 2.3596302142516743E-15
227.49 1672.52343445457 2.651299094312434E-15
227.49 1672.53097523321 2.9783839857732613E-15
227.49 1672.53851601185 3.3451056977377765E-15
227.49 1672.54605679049 3.7561782789139316E-15
227.49 1672.55359756913 4.216865474201419E-15
227.49 1672.56113834777 4.733043502812103E-15
227.49 1672.56867912641 5.311270849650334E-15
227.49 1672.57621990505 5.958865835159909E-15
227.49 1672.58376068368 6.683992809143808E-15
227.49 1672.59130146232 7.495757911438079E-15
227.49 1672.59884224096 8.404315420411568E-15
227.49 1672.6063830196 9.420985853288013E-15
227.49 1672.61392379824 1.0558387070542313E-14
227.49 1672.62146457688 1.1830579787772856E-14
227.49 1672.62900535552 1.3253229040071437E-14
227.49 1672.63654613416 1.4843783305386106E-14
227.49 1672.6440869128 1.6621673170984776E-14
227.49 1672.65162769144 1.8608531624276615E-14
227.49 1672.65916847008 2.0828438263931495E-14
227.49 1672.66670924872 2.330818996426661E-14
227.49 1672.67425002735 2.6077600785017143E-14
227.49 1672.68179080599 2.916983423136784E-14
227.49 1672.68933158463 3.262177120592349E-14
227.49 1672.69687236327 3.6474417473702525E-14
227.49 1672.70441314191 4.077335471421839E-14
227.49 1672.71195392055 4.55692397292326E-14
227.49 1672.71949469919 5.091835681504041E-14
227.49 1672.72703547783 5.688322881592685E-14
227.49 1672.73457625647 6.353329293122053E-14
227.49 1672.74211703511 7.094564796444161E-14
227.49 1672.74965781375 7.920588037028811E-14
227.49 1672.75719859238 8.840897717728124E-14
227.49 1672.76473937102 9.866033476696985E-14
227.49 1672.77228014966 1.1007687310951103E-13
227.49 1672.7798209283 1.227882664546887E-13
227.49 1672.78736170694 1.3693830212837764E-13
227.49 1672.79490248558 1.5268638049444658E-13
227.49 1672.80244326422 1.7020917033607782E-13
227.49 1672.80998404286 1.8970243533528377E-13
227.49 1672.8175248215 2.1138304885327584E-13
227.49 1672.82506560014 2.3549121588997526E-13
227.49 1672.83260637878 2.6229292295613446E-13
227.49 1672.84014715741 2.9208263854720597E-13
227.49 1672.84768793605 3.2518628938997747E-13
227.49 1672.85522871469 3.619645392153722E-13
227.49 1672.86276949333 4.028164008130211E-13
227.49 1672.87031027197 4.481832136218708E-13
227.49 1672.87785105061 4.985530230956003E-13
227.49 1672.88539182925 5.544654012220331E-13
227.49 1672.89293260789 6.165167513531329E-13
227.49 1672.90047338653 6.853661446402712E-13
227.49 1672.90801416517 7.617417398023503E-13
227.49 1672.91555494381 8.464478428185895E-13
227.49 1672.92309572244 9.403726683880098E-13
227.49 1672.93063650108 1.0444968716560517E-12
227.49 1672.93817727972 1.1599029223498232E-12
227.49 1672.94571805836 1.2877854048294299E-12
227.49 1672.953258837 1.4294623306947538E-12
227.49 1672.96079961564 1.586387561311363E-12
227.49 1672.96834039428 1.7601644458160871E-12
227.49 1672.97588117292 1.9525607899080055E-12
227.49 1672.98342195156 2.1655252812793595E-12
227.49 1672.9909627302 2.401205509209114E-12
227.49 1672.99850350884 2.6619677282480124E-12
227.49 1673.00604428748 2.950418529511787E-12
227.49 1673.01358506611 3.2694285976852083E-12
227.49 1673.02112584475 3.62215875085468E-12
227.49 1673.02866662339 4.012088468681732E-12
227.49 1673.03620740203 4.44304714863585E-12
227.49 1673.04374818067 4.9192483357769E-12
227.49 1673.05128895931 5.445327202642973E-12
227.49 1673.05882973795 6.026381577706863E-12
227.49 1673.06637051659 6.668016847425547E-12
227.49 1673.07391129523 7.376395085503215E-12
227.49 1673.08145207387 8.158288794837574E-12
227.49 1673.08899285251 9.021139680366715E-12
227.49 1673.09653363114 9.973122907438768E-12
227.49 1673.10407440978 1.1023217348546757E-11
227.49 1673.11161518842 1.2181282337121826E-11
227.49 1673.11915596706 1.3458141538973268E-11
227.49 1673.1266967457 1.486567455796801E-11
227.49 1673.13423752434 1.641691697293294E-11
227.49 1673.14177830298 1.8126169554547775E-11
227.49 1673.14931908162 2.000911747533434E-11
227.49 1673.15685986026 2.2082960394854005E-11
227.49 1673.1644006389 2.436655437867438E-11
227.49 1673.17194141754 2.688056668947649E-11
227.49 1673.17948219617 2.964764457203771E-11
227.49 1673.18702297481 3.269259927705459E-11
227.49 1673.19456375345 3.604260659083874E-11
227.49 1673.20210453209 3.972742537698595E-11
227.49 1673.20964531073 4.3779635630688096E-11
227.49 1673.21718608937 4.823489774830477E-11
227.49 1673.22472686801 5.313223482824996E-11
227.49 1673.23226764665 5.851433997619092E-11
227.49 1673.23980842529 6.442791074626654E-11
227.49 1673.24734920393 7.092401302343082E-11
227.49 1673.25488998257 7.805847684461057E-11
227.49 1673.2624307612 8.589232684403429E-11
227.49 1673.26997153984 9.449225030013546E-11
227.49 1673.27751231848 1.039311057802387E-10
227.49 1673.28505309712 1.1428847599250676E-10
227.49 1673.29259387576 1.2565126836456314E-10
227.49 1673.3001346544 1.3811436738295476E-10
227.49 1673.30767543304 1.5178134296559171E-10
227.49 1673.31521621168 1.6676521948597835E-10
227.49 1673.32275699032 1.8318931044327693E-10
227.49 1673.33029776896 2.0118812415471272E-10
227.49 1673.3378385476 2.2090834626486422E-10
227.49 1673.34537932623 2.425099053026427E-10
227.49 1673.35292010487 2.6616712819716545E-10
227.49 1673.36046088351 2.920699925683262E-10
227.49 1673.36800166215 3.2042548419382843E-10
227.49 1673.37554244079 3.514590676436286E-10
227.49 1673.38308321943 3.854162793009297E-10
227.49 1673.39062399807 4.2256445250951746E-10
227.49 1673.39816477671 4.6319458533350054E-10
227.49 1673.40570555535 5.076233622019433E-10
227.49 1673.41324633399 5.561953415924039E-10
227.49 1673.42078711263 6.092853227894524E-10
227.49 1673.42832789127 6.673009057200257E-10
227.49 1673.4358686699 7.306852588638875E-10
227.49 1673.44340944854 7.99920111923919E-10
227.49 1673.45095022718 8.755289893261108E-10
227.49 1673.45849100582 9.580807049070489E-10
227.49 1673.46603178446 1.048193136543435E-9
227.49 1673.4735725631 1.1465373026526278E-9
227.49 1673.48111334174 1.2538417635518816E-9
227.49 1673.48865412038 1.370897372346541E-9
227.49 1673.49619489902 1.4985624017756124E-9
227.49 1673.50373567766 1.6377680754312808E-9
227.49 1673.5112764563 1.7895245337121105E-9
227.49 1673.51881723493 1.9549272667753836E-9
227.49 1673.52635801357 2.1351640507575473E-9
227.49 1673.53389879221 2.331522421193446E-9
227.49 1673.54143957085 2.545397727859255E-9
227.49 1673.54898034949 2.778301810635816E-9
227.49 1673.55652112813 3.0318723431516684E-9
227.49 1673.56406190677 3.307882892964581E-9
227.49 1673.57160268541 3.60825375041137E-9
227.49 1673.57914346405 3.93506358179254E-9
227.49 1673.58668424269 4.290561966600641E-9
227.49 1673.59422502133 4.67718288234057E-9
227.49 1673.60176579996 5.097559204151733E-9
227.49 1673.6093065786 5.5545382953359305E-9
227.49 1673.61684735724 6.051198757575309E-9
227.49 1673.62438813588 6.590868434314927E-9
227.49 1673.63192891452 7.177143747273994E-9
227.49 1673.63946969316 7.813910463005318E-9
227.49 1673.6470104718 8.505365988705362E-9
227.49 1673.65455125044 9.256043304048896E-9
227.49 1673.66209202908 1.0070836642312838E-8
227.49 1673.66963280772 1.0955029041274788E-8
227.49 1673.67717358636 1.191432189279713E-8
227.49 1673.68471436499 1.2954866626245023E-8
227.49 1673.69225514363 1.4083298679398037E-8
227.49 1673.69979592227 1.5306773891105014E-8
227.49 1673.70733670091 1.6633007507513584E-8
227.49 1673.71487747955 1.8070315955869567E-8
227.49 1673.72241825819 1.9627661580311325E-8
227.49 1673.72995903683 2.1314700535328174E-8
227.49 1673.73749981547 2.3141834045832595E-8
227.49 1673.74504059411 2.512026325701133E-8
227.49 1673.75258137275 2.7262047909549132E-8
227.49 1673.76012215139 2.9580169089869003E-8
227.49 1673.76766293003 3.2088596321866585E-8
227.49 1673.77520370866 3.480235927736112E-8
227.49 1673.7827444873 3.77376244248319E-8
227.49 1673.79028526594 4.0911776879095656E-8
227.49 1673.79782604458 4.434350785795324E-8
227.49 1673.80536682322 4.805290804587795E-8
227.49 1673.81290760186 5.2061567262525366E-8
227.49 1673.8204483805 5.639268082877756E-8
227.49 1673.82798915914 6.10711630488216E-8
227.49 1673.83552993778 6.612376825431678E-8
227.49 1673.84307071642 7.157921987903648E-8
227.49 1673.85061149506 7.746834805824611E-8
227.49 1673.85815227369 8.382423627062301E-8
227.49 1673.86569305233 9.068237762670118E-8
227.49 1673.87323383097 9.808084125787836E-8
227.49 1673.88077460961 1.0606044959421066E-7
227.49 1673.88831538825 1.146649670551272E-7
227.49 1673.89585616689 1.2394130088560144E-7
227.49 1673.90339694553 1.3393971485698105E-7
227.49 1673.91093772417 1.447140565927698E-7
227.49 1673.91847850281 1.5632199931901758E-7
227.49 1673.92601928145 1.688252988902536E-7
227.49 1673.93356006009 1.8229006697904658E-7
227.49 1673.94110083872 1.9678706134222488E-7
227.49 1673.94864161736 2.1239199427446368E-7
227.49 1673.956182396 2.2918585999156966E-7
227.49 1673.96372317464 2.4725528241280785E-7
227.49 1673.97126395328 2.6669288421165653E-7
227.49 1673.97880473192 2.875976784477848E-7
227.49 1673.98634551056 3.1007548401971327E-7
227.49 1673.9938862892 3.342393662758319E-7
227.49 1674.00142706784 3.602101041724319E-7
227.49 1674.00896784648 3.881166854315249E-7
227.49 1674.01650862512 4.18096831250067E-7
227.49 1674.02404940375 4.502975520993127E-7
227.49 1674.03159018239 4.848757365801687E-7
227.49 1674.03913096103 5.219987744435655E-7
227.49 1674.04667173967 5.618452164652682E-7
227.49 1674.05421251831 6.046054724943364E-7
227.49 1674.06175329695 6.50482549940619E-7
227.49 1674.06929407559 6.996928347623538E-7
227.49 1674.07683485423 7.524669171891196E-7
227.49 1674.08437563287 8.090504644827699E-7
227.49 1674.09191641151 8.697051431351987E-7
227.49 1674.09945719015 9.347095930538774E-7
227.49 1674.10699796878 1.0043604562611938E-6
227.49 1674.11453874742 1.0789734634018156E-6
227.49 1674.12207952606 1.1588845795582846E-6
227.49 1674.1296203047 1.2444512141950877E-6
227.49 1674.13716108334 1.3360534969512306E-6
227.49 1674.14470186198 1.4340956231102884E-6
227.49 1674.15224264062 1.5390072720193478E-6
227.49 1674.15978341926 1.6512451019425293E-6
