Time mz Intensity
227.49 1672.4706490041 4.804600508525459E-16
227.49 1672.47818978274 5.406780225809294E-16
227.49 1672.48573056138 6.083139768449144E-16
227.49 1672.49327134002 6.842653088000876E-16
227.49 1672.50081211865 7.695359327469105E-16
227.49 1672.50835289729 8.652486757390263E-16
227.49 1672.51589367593 9.72659081749291E-16
227.49 1672.52343445457 1.0931707859390912E-15
227.49 1672.53097523321 1.2283526316996782E-15
227.49 1672.53851601185 1.3799577243340328E-15
227.49 1672.54605679049 1.5499446355074049E-15
227.49 1672.55359756913 1.7405009957329167E-15
227.49 1672.56113834777 1.9540697376721226E-15
227.49 1672.56867912641 2.1933782814079357E-15
227.49 1672.57621990505 2.4614709839076998E-15
227.49 1672.58376068368 2.7617452088587356E-15
227.49 1672.59130146232 3.0979914141850824E-15
227.49 1672.59884224096 3.474437687795736E-15
227.49 1672.6063830196 3.895799222359243E-15
227.49 1672.61392379824 4.367333257592346E-15
227.49 1672.62146457688 4.8949000824287054E-15
227.49 1672.62900535552 5.485030749526791E-15
227.49 1672.63654613416 6.1450022230682925E-15
227.49 1672.6440869128 6.882920756172986E-15
227.49 1672.65162769144 7.707814377945436E-15
227.49 1672.65916847008 8.629735461366708E-15
227.49 1672.66670924872 9.659874443973763E-15
227.49 1672.67425002735 1.0810685883465538E-14
227.49 1672.68179080599 1.2096028163161223E-14
227.49 1672.68933158463 1.3531318263799076E-14
227.49 1672.69687236327 1.5133703220929016E-14
227.49 1672.70441314191 1.6922249996259084E-14
227.49 1672.71195392055 1.891815570126754E-14
227.49 1672.71949469919 2.1144980299346377E-14
227.49 1672.72703547783 2.36289041293389E-14
227.49 1672.73457625647 2.6399012830547264E-14
227.49 1672.74211703511 2.9487612512295855E-14
227.49 1672.74965781375 3.293057829623248E-14
227.49 1672.75719859238 3.676773966832987E-14
227.49 1672.76473937102 4.104330646272472E-14
227.49 1672.77228014966 4.580633956724966E-14
227.49 1672.7798209283 5.111127103472987E-14
227.49 1672.78736170694 5.701847856761969E-14
227.49 1672.79490248558 6.359491994493364E-14
227.49 1672.80244326422 7.091483347333121E-14
227.49 1672.80998404286 7.906051115511416E-14
227.49 1672.8175248215 8.812315192004004E-14
227.49 1672.82506560014 9.82038029874332E-14
227.49 1672.83260637878 1.0941439822193298E-13
227.49 1672.84014715741 1.218789031875505E-13
227.49 1672.84768793605 1.3573457766888435E-13
227.49 1672.85522871469 1.511333671191012E-13
227.49 1672.86276949333 1.6824343620086462E-13
227.49 1672.87031027197 1.8725085824910891E-13
227.49 1672.87785105061 2.0836147619140986E-13
227.49 1672.88539182925 2.3180295181990697E-13
227.49 1672.89293260789 2.5782702193840656E-13
227.49 1672.90047338653 2.8671198169446113E-13
227.49 1672.90801416517 3.1876541732179355E-13
227.49 1672.91555494381 3.5432721262122626E-13
227.49 1672.92309572244 3.9377285577994076E-13
227.49 1672.93063650108 4.375170759995681E-13
227.49 1672.93817727972 4.860178410152508E-13
227.49 1672.94571805836 5.397807514529903E-13
227.49 1672.953258837 5.993638693899721E-13
227.49 1672.96079961564 6.653830230995246E-13
227.49 1672.96834039428 7.385176335305789E-13
227.49 1672.97588117292 8.195171123035324E-13
227.49 1672.98342195156 9.092078855890768E-13
227.49 1672.9909627302 1.0085011033082523E-12
227.49 1672.99850350884 1.1184010984918458E-12
